             1.84426	-199.519615470	0.0000   -0.0000  0.0000
             1.85426	-199.517899451	0.0000   -0.0000  -0.0000
             1.86426	-199.516192210	-0.0000   -0.0000  0.0000
             1.87426	-199.514494403	-0.0000   -0.0000  -0.0000
             1.88426	-199.512806643	0.0000   0.0000  0.0000
             1.89426	-199.511129503	0.0000   -0.0000  -0.0000
             1.90426	-199.509463518	0.0000   -0.0000  0.0000
             1.91426	-199.507809182	-0.0000   -0.0000  -0.0000
             1.92426	-199.506166954	0.0000   0.0000  0.0000
             1.93426	-199.504537256	0.0000   0.0000  -0.0000
             1.94426	-199.502920472	-0.0000   -0.0000  0.0000
             1.95426	-199.501316956	-0.0000   0.0000  -0.0000
             1.96426	-199.499727027	0.0000   -0.0000  0.0000
             1.97426	-199.498150975	0.0000   -0.0000  -0.0000
             1.98426	-199.496589065	-0.0000   -0.0000  0.0000
             1.99426	-199.495041534	0.0000   0.0000  -0.0000
             2.00426	-199.493508598	0.0000   -0.0000  0.0000
             2.01426	-199.491990454	-0.0000   0.0000  -0.0000
             2.02426	-199.490487277	0.0000   0.0000  0.0000
             2.03426	-199.488999227	0.0000   -0.0000  -0.0000
             2.04426	-199.487526446	0.0000   -0.0000  0.0000
             2.05426	-199.486069059	0.0000   0.0000  -0.0000
             2.06426	-199.484627179	0.0000   0.0000  0.0000
             2.07426	-199.483200897	-0.0000   -0.0000  -0.0000
             2.08426	-199.481790294	0.0000   0.0000  0.0000
             2.09426	-199.480395433	-0.0000   -0.0000  -0.0000
             2.10426	-199.479016361	-0.0000   0.0000  -0.0000
             2.11426	-199.477653113	0.0000   -0.0000  -0.0000
             2.12426	-199.476305706	0.0000   -0.0000  -0.0000
             2.13426	-199.474974150	-0.0000   0.0000  -0.0000
             2.14426	-199.473658438	0.0000   0.0000  -0.0000
             2.15426	-199.472358556	0.0000   0.0000  0.0000
             2.16426	-199.471074480	0.0000   -0.0000  -0.0000
             2.17426	-199.469806182	-0.0000   0.0000  0.0000
             2.18426	-199.468553623	0.0000   -0.0000  -0.0000
             2.19426	-199.467316765	0.0000   -0.0000  0.0000
             2.20426	-199.466095562	-0.0000   0.0000  -0.0000
             2.21426	-199.464889966	-0.0000   0.0000  0.0000
             2.22426	-199.463699925	-0.0000   -0.0000  -0.0000
             2.23426	-199.462525385	-0.0000   0.0000  -0.0000
             2.24426	-199.461366286	-0.0000   -0.0000  -0.0000
             2.25426	-199.460222567	0.0000   0.0000  0.0000
             2.26426	-199.459094160	-0.0000   0.0000  0.0000
             2.27426	-199.457980993	-0.0000   0.0000  0.0000
             2.28426	-199.456882988	-0.0000   0.0000  -0.0000
             2.29426	-199.455800061	0.0000   0.0000  0.0000
             2.30426	-199.454732124	0.0000   0.0000  0.0000
             2.31426	-199.453679079	-0.0000   -0.0000  0.0000
             2.32426	-199.452640827	-0.0000   0.0000  -0.0000
             2.33426	-199.451617261	0.0000   0.0000  -0.0000
             2.34426	-199.450608271	0.0000   0.0000  -0.0000
             2.35426	-199.449613742	0.0000   0.0000  0.0000
             2.36426	-199.448633557	-0.0000   -0.0000  0.0000
             2.37426	-199.447667597	-0.0000   -0.0000  0.0000
             2.38426	-199.446715741	-0.0000   -0.0000  -0.0000
             2.39426	-199.445777866	0.0000   -0.0000  0.0000
