# Mass        0.948117693238
# Eigenvalues:    5.324793383788e+00   1.560879468957e+01   2.544399591048e+01   3.484553983756e+01   4.382883151009e+01
 4.679100000000e-01 6.209454801734e+02 5.324793384413e+00 1.560879468697e+01 2.544399591823e+01 3.484553981845e+01 4.382883155148e+01 6.256335039557e-10 -2.600426856692e-09 7.749604559959e-09 -1.911595840892e-08 4.138961281044e-08
 4.779100000000e-01 5.739523071462e+02 5.324793385924e+00 1.560879468075e+01 2.544399593657e+01 3.484553977363e+01 4.382883164765e+01 2.135730135109e-09 -8.814308880032e-09 2.608926137031e-08 -6.393452244320e-08 1.375634959078e-07
 4.879100000000e-01 5.303474061773e+02 5.324793390014e+00 1.560879466410e+01 2.544399598521e+01 3.484553965593e+01 4.382883189779e+01 6.226315141123e-09 -2.546761887310e-08 7.473426273807e-08 -1.816315358029e-07 3.876983475088e-07
 4.979100000000e-01 4.898764922195e+02 5.324793401009e+00 1.560879461981e+01 2.544399611328e+01 3.484553934910e+01 4.382883254371e+01 1.722097755422e-08 -6.975993005172e-08 2.028037772684e-07 -4.884628221702e-07 1.033620187973e-06
 5.079100000000e-01 4.523064272958e+02 5.324793429526e+00 1.560879450616e+01 2.544399643846e+01 3.484553857787e+01 4.382883415144e+01 4.573826071288e-08 -1.834066418973e-07 5.279863309050e-07 -1.259691507115e-06 2.641348777264e-06
 5.179100000000e-01 4.174231434429e+02 5.324793500740e+00 1.560879422554e+01 2.544399723271e+01 3.484553671395e+01 4.382883799753e+01 1.169522035406e-07 -4.640297568426e-07 1.322234645308e-06 -3.123606858704e-06 6.487438014837e-06
 5.279100000000e-01 3.850299490629e+02 5.324793672096e+00 1.560879355819e+01 2.544399910011e+01 3.484553237975e+01 4.382884684579e+01 2.883077724597e-07 -1.131378608989e-06 3.189629991253e-06 -7.457814586079e-06 1.533569990688e-05
 5.379100000000e-01 3.549460266660e+02 5.324794069833e+00 1.560879202809e+01 2.544400333096e+01 3.484552267286e+01 4.382886644141e+01 6.860447648333e-07 -2.661480379532e-06 7.420484406042e-06 -1.716469838805e-05 3.493131721303e-05
 5.479100000000e-01 3.270049431625e+02 5.324794961384e+00 1.560878864197e+01 2.544401257781e+01 3.484550171323e+01 4.382890825851e+01 1.577596555088e-06 -6.047591194020e-06 1.666732918004e-05 -3.812433336824e-05 7.674841974930e-05
 5.579100000000e-01 3.010532574194e+02 5.324796893442e+00 1.560878140175e+01 2.544403209308e+01 3.484545803678e+01 4.382899432851e+01 3.509654629569e-06 -1.328781582882e-05 3.618259869286e-05 -8.180077958072e-05 1.628184185538e-04
 5.679100000000e-01 2.769494321589e+02 5.324800945419e+00 1.560876642877e+01 2.544407190288e+01 3.484537011997e+01 4.382916534374e+01 7.561630766651e-06 -2.826079413921e-05 7.599240471045e-05 -1.697175914301e-04 3.338336459374e-04
 5.779100000000e-01 2.545629523078e+02 5.324809177639e+00 1.560873645208e+01 2.544415046916e+01 3.484519902628e+01 4.382949363375e+01 1.579385168365e-05 -5.823748590091e-05 1.545586849199e-04 -3.408112772829e-04 6.621236649666e-04
 5.879100000000e-01 2.337733962827e+02 5.324825395065e+00 1.560867829909e+01 2.544430060571e+01 3.484487685653e+01 4.383010295639e+01 3.201127719770e-05 -1.163904718384e-04 3.046952370242e-04 -6.629810333359e-04 1.271446298853e-03
 5.979100000000e-01 2.144694539387e+02 5.324856401700e+00 1.560856889173e+01 2.544457863590e+01 3.484428943426e+01 4.383119716923e+01 6.301791219448e-05 -2.257978331288e-04 5.827254174051e-04 -1.250403297531e-03 2.365659137705e-03
 6.079100000000e-01 1.965481208464e+02 5.324913986868e+00 1.560836910760e+01 2.544507795882e+01 3.484325159215e+01 4.383309951466e+01 1.206030804931e-04 -4.255819681330e-04 1.082048342427e-03 -2.288245416244e-03 4.268004572755e-03
 6.179100000000e-01 1.799141103155e+02 5.325017956935e+00 1.560801474351e+01 2.544594824369e+01 3.484147371679e+01 4.383630317598e+01 2.245731475123e-04 -7.799460591445e-04 1.952333209692e-03 -4.066120774654e-03 7.471665886669e-03
 6.279100000000e-01 1.644793036972e+02 5.325200594313e+00 1.560740376226e+01 2.544742128607e+01 3.483851906223e+01 4.384153166364e+01 4.072105257179e-04 -1.390927302695e-03 3.425375594996e-03 -7.020775328496e-03 1.270015354818e-02
 6.379100000000e-01 1.501621222463e+02 5.325512972603e+00 1.560637907388e+01 2.544984400608e+01 3.483375294610e+01 4.384980429168e+01 7.195888155129e-04 -2.415615687644e-03 5.848095600432e-03 -1.178689145761e-02 2.097278159533e-02
 6.479100000000e-01 1.368869190652e+02 5.326033558932e+00 1.560470637055e+01 2.545371802367e+01 3.482628741267e+01 4.386249755358e+01 1.240175144711e-03 -4.088319013801e-03 9.722113195413e-03 -1.925242488985e-02 3.366604348879e-02
 6.579100000000e-01 1.245835122363e+02 5.326879463571e+00 1.560204706967e+01 2.545974363567e+01 3.481492823704e+01 4.388138801770e+01 2.086079783669e-03 -6.747619893027e-03 1.574772519568e-02 -3.061160052299e-02 5.255650760668e-02
 6.679100000000e-01 1.131868309070e+02 5.328220523588e+00 1.559792726883e+01 2.546886386216e+01 3.479813495953e+01 4.390865731291e+01 3.427139799805e-03 -1.086742073666e-02 2.486795168546e-02 -4.740487803365e-02 7.982580282363e-02
 6.779100000000e-01 1.026365714144e+02 5.330296108077e+00 1.559170478456e+01 2.548230169359e+01 3.477400837770e+01 4.394683621580e+01 5.502724289589e-03 -1.708990500766e-02 3.830578311538e-02 -7.153145985688e-02 1.180047057095e-01
